Trial,PFixation,PFixation_LocationX,PFixation_LocationY,PCue1,PCue1_LocationX,PCue1_LocationY,PCue2,PCue2_LocationX,PCue2_LocationY,PTrial_Type,PTarget_Arrow,PTarget_Arrow_LocationX,PTarget_Arrow_LocationY,PFlanker1,PFlanker1_LocationX,PFlanker1_LocationY,PFlanker2,PFlanker2_LocationX,PFlanker2_LocationY,PFlanker3,PFlanker3_LocationX,PFlanker3_LocationY,PFlanker4,PFlanker4_LocationX,PFlanker4_LocationY,Correct
11,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,-1.06,right
12,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,-1.06,left
13,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,1.22,1.06,right
14,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,1.06,left
15,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Incongruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,1.06,right
16,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Incongruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,1.22,1.06,left
17,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,1.06,right
18,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,1.06,left
19,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,1.22,-1.06,right
20,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,-1.06,left
21,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Incongruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,-1.06,right
22,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Incongruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,1.22,-1.06,left
23,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,-1.06,right
24,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,0,Neutral,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-1.22,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,-0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,0.61,-1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Neutral.png,1.22,-1.06,left
25,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,-1.06,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,1.22,1.06,right
26,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,-1.06,Congruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,1.06,left
27,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Fixation.png,0,0,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Cue.png,0,-1.06,Incongruent,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Right_Arrow.png,0,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-1.22,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,-0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,0.61,1.06,C:\Users\CogNeW\Desktop\Tasks\MXAttn\ANT\images\Left_Arrow.png,1.22,1.06,right
